_Annual_J-D_2017_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.9186
   2   1 -177.00  -89.00        0.9186
   3   1 -175.00  -89.00        0.9186
   4   1 -173.00  -89.00        0.9186
   5   1 -171.00  -89.00        0.9186
   6   1 -169.00  -89.00        0.9186
   7   1 -167.00  -89.00        0.9186
   8   1 -165.00  -89.00        0.9186
   9   1 -163.00  -89.00        0.9186
  10   1 -161.00  -89.00        0.9186
  11   1 -159.00  -89.00        0.9186
  12   1 -157.00  -89.00        0.9186
  13   1 -155.00  -89.00        0.9186
  14   1 -153.00  -89.00        0.9186
  15   1 -151.00  -89.00        0.9186
  16   1 -149.00  -89.00        0.9186
  17   1 -147.00  -89.00        0.9186
  18   1 -145.00  -89.00        0.9186
  19   1 -143.00  -89.00        0.9186
  20   1 -141.00  -89.00        0.9186
  21   1 -139.00  -89.00        0.9186
  22   1 -137.00  -89.00        0.9186
  23   1 -135.00  -89.00        0.9186
  24   1 -133.00  -89.00        0.9186
  25   1 -131.00  -89.00        0.9186
  26   1 -129.00  -89.00        0.9186
  27   1 -127.00  -89.00        0.9186
  28   1 -125.00  -89.00        0.9186
  29   1 -123.00  -89.00        0.9186
  30   1 -121.00  -89.00        0.9186
  31   1 -119.00  -89.00        0.9186
  32   1 -117.00  -89.00        0.9186
  33   1 -115.00  -89.00        0.9186
  34   1 -113.00  -89.00        0.9186
  35   1 -111.00  -89.00        0.9186
  36   1 -109.00  -89.00        0.9186
  37   1 -107.00  -89.00        0.9186
  38   1 -105.00  -89.00        0.9186
  39   1 -103.00  -89.00        0.9186
  40   1 -101.00  -89.00        0.9186
  41   1  -99.00  -89.00        0.9186
  42   1  -97.00  -89.00        0.9186
  43   1  -95.00  -89.00        0.9186
  44   1  -93.00  -89.00        0.9186
  45   1  -91.00  -89.00        0.9186
  46   1  -89.00  -89.00        0.9186
  47   1  -87.00  -89.00        0.9186
  48   1  -85.00  -89.00        0.9186
  49   1  -83.00  -89.00        0.9186
  50   1  -81.00  -89.00        0.9186
  51   1  -79.00  -89.00        0.9186
  52   1  -77.00  -89.00        0.9186
  53   1  -75.00  -89.00        0.9186
  54   1  -73.00  -89.00        0.9186
  55   1  -71.00  -89.00        0.9186
  56   1  -69.00  -89.00        0.9186
  57   1  -67.00  -89.00        0.9186
  58   1  -65.00  -89.00        0.9186
  59   1  -63.00  -89.00        0.9186
  60   1  -61.00  -89.00        0.9186
  61   1  -59.00  -89.00        0.9186
  62   1  -57.00  -89.00        0.9186
