_Annual_J-D_1988_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        1.2049
 162   1  143.00  -89.00        1.2049
 163   1  145.00  -89.00        1.2049
 164   1  147.00  -89.00        1.2049
 165   1  149.00  -89.00        1.2049
 166   1  151.00  -89.00        1.2049
 167   1  153.00  -89.00        1.2049
 168   1  155.00  -89.00        1.2049
 169   1  157.00  -89.00        1.2049
 170   1  159.00  -89.00        1.2049
 171   1  161.00  -89.00        1.2049
 172   1  163.00  -89.00        1.2049
 173   1  165.00  -89.00        1.2049
 174   1  167.00  -89.00        1.2049
 175   1  169.00  -89.00        1.2049
 176   1  171.00  -89.00        1.2049
 177   1  173.00  -89.00        1.2049
 178   1  175.00  -89.00        1.2049
 179   1  177.00  -89.00        1.2049
 180   1  179.00  -89.00        1.2049
   1   2 -179.00  -87.00        1.2049
   2   2 -177.00  -87.00        1.2049
   3   2 -175.00  -87.00        1.2049
   4   2 -173.00  -87.00        1.2049
   5   2 -171.00  -87.00        1.2049
   6   2 -169.00  -87.00        1.2049
   7   2 -167.00  -87.00        1.2049
   8   2 -165.00  -87.00        1.2049
   9   2 -163.00  -87.00        1.2049
  10   2 -161.00  -87.00        1.2049
  11   2 -159.00  -87.00        1.2049
  12   2 -157.00  -87.00        1.2049
  13   2 -155.00  -87.00        1.2049
  14   2 -153.00  -87.00        1.2049
  15   2 -151.00  -87.00        1.2049
  16   2 -149.00  -87.00        1.2049
  17   2 -147.00  -87.00        1.2049
  18   2 -145.00  -87.00        1.2049
  19   2 -143.00  -87.00        1.2049
  20   2 -141.00  -87.00        1.2049
  21   2 -139.00  -87.00        1.2049
  22   2 -137.00  -87.00        1.2049
  23   2 -135.00  -87.00        1.2049
  24   2 -133.00  -87.00        1.2049
  25   2 -131.00  -87.00        1.2049
  26   2 -129.00  -87.00        1.2049
  27   2 -127.00  -87.00        1.2049
  28   2 -125.00  -87.00        1.2049
  29   2 -123.00  -87.00        1.2049
  30   2 -121.00  -87.00        1.2049
  31   2 -119.00  -87.00        1.2049
  32   2 -117.00  -87.00        1.2049
  33   2 -115.00  -87.00        1.2049
  34   2 -113.00  -87.00        1.2049
  35   2 -111.00  -87.00        1.2049
  36   2 -109.00  -87.00        1.2049
  37   2 -107.00  -87.00        1.2049
  38   2 -105.00  -87.00        1.2049
  39   2 -103.00  -87.00        1.2049
  40   2 -101.00  -87.00        1.2049
  41   2  -99.00  -87.00        1.2049
  42   2  -97.00  -87.00        1.2049
  43   2  -95.00  -87.00        1.2049
  44   2  -93.00  -87.00        1.2049
  45   2  -91.00  -87.00        1.2049
